Vaccine,Geography.Type,Geography,Survey.Year.Influenza.Season,Dimension.Type,Dimension,Estimate....,X95..CI....,Sample.Size,State
Influenza,States,Oklahoma,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",54.6,49.6 to 59.5,610,OK
Influenza,States,Oklahoma,2017,Age,>=18 Years,50.3,46.6 to 54.0,1562,OK
Influenza,States,Oklahoma,2017,Age,18-24 Years,43.8,37.5 to 50.2,558,OK
Influenza,States,Oklahoma,2017,Age,25-34 Years,55.1,50.1 to 60.0,864,OK
Influenza,States,Oklahoma,2017,Age,>=35 Years,43.5,31.4 to 56.2,140,OK
Influenza,States,Oklahoma,2017,Race and Ethnicity,"White, Non-Hispanic",50.0,43.9 to 56.1,272,OK
Influenza,States,Oklahoma,2017,Race and Ethnicity,"Black, Non-Hispanic",44.3,38.9 to 49.8,339,OK
Influenza,States,Oklahoma,2017,Race and Ethnicity,Hispanic,56.9,51.9 to 61.8,402,OK
Influenza,States,Oklahoma,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",49.0,43.3 to 54.7,549,OK
Influenza,States,Oklahoma,2022,Age,>=18 Years,42.2,38.3 to 46.2,1429,OK
Influenza,States,Oklahoma,2022,Age,>=35 Years,47.3,36.1 to 58.7,186,OK
Tdap,States,Oklahoma,2022,Age,>=18 Years,67.5,63.5 to 71.3,1353,OK
Tdap,States,Oklahoma,2022,Age,>=35 Years,64.6,53.0 to 75.0,173,OK
Influenza,States,Oklahoma,2022,Age,18-24 Years,37.1,29.9 to 44.8,409,OK
Influenza,States,Oklahoma,2022,Age,25-34 Years,43.5,38.4 to 48.7,834,OK
Tdap,States,Oklahoma,2022,Age,18-24 Years,66.1,57.9 to 73.6,383,OK
Tdap,States,Oklahoma,2022,Age,25-34 Years,68.7,63.5 to 73.6,797,OK
Influenza,States,Oklahoma,2022,Race and Ethnicity,"White, Non-Hispanic",40.0,33.5 to 46.8,229,OK
Influenza,States,Oklahoma,2022,Race and Ethnicity,"Black, Non-Hispanic",30.0,24.8 to 35.6,296,OK
Influenza,States,Oklahoma,2022,Race and Ethnicity,Hispanic,53.5,48.4 to 58.5,400,OK
Influenza,States,Oklahoma,2022,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",43.4,37.4 to 49.5,503,OK
Tdap,States,Oklahoma,2022,Race and Ethnicity,"White, Non-Hispanic",64.7,57.8 to 71.2,221,OK
Tdap,States,Oklahoma,2022,Race and Ethnicity,"Black, Non-Hispanic",58.0,52.0 to 63.8,281,OK
Tdap,States,Oklahoma,2022,Race and Ethnicity,Hispanic,73.7,68.8 to 78.2,373,OK
Tdap,States,Oklahoma,2022,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",73.9,68.2 to 79.1,477,OK
Tdap,States,Oklahoma,2013,Age,25-34 Years,27.8,22.8 to 33.3,878,OK
Tdap,States,Oklahoma,2014,Age,25-34 Years,42.4,36.8 to 48.2,959,OK
Tdap,States,Oklahoma,2016,Age,25-34 Years,69.3,64.6 to 73.7,844,OK
Tdap,States,Oklahoma,2018,Age,25-34 Years,75.3,70.4 to 79.8,693,OK
Tdap,States,Oklahoma,2017,Age,25-34 Years,75.6,71.1 to 79.7,795,OK
Tdap,States,Oklahoma,2014,Age,>=35 Years,24.1,13.1 to 38.3,174,OK
Tdap,States,Oklahoma,2013,Age,>=35 Years,23.9,13.0 to 38.0,197,OK
Tdap,States,Oklahoma,2015,Age,25-34 Years,50.4,44.9 to 55.9,914,OK
Tdap,States,Oklahoma,2012,Age,>=35 Years,NR*,NR*,149,OK
Tdap,States,Oklahoma,2016,Age,>=35 Years,56.6,45.6 to 67.2,186,OK
Tdap,States,Oklahoma,2017,Age,>=35 Years,66.5,52.8 to 78.4,122,OK
Tdap,States,Oklahoma,2018,Age,>=35 Years,71.3,57.5 to 82.7,135,OK
Tdap,States,Oklahoma,2014,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,141,OK
Tdap,States,Oklahoma,2013,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,114,OK
Tdap,States,Oklahoma,2016,Race and Ethnicity,"Black, Non-Hispanic",58.1,52.9 to 63.2,369,OK
Tdap,States,Oklahoma,2015,Age,>=35 Years,49.4,37.3 to 61.6,221,OK
Tdap,States,Oklahoma,2012,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,127,OK
Tdap,States,Oklahoma,2018,Race and Ethnicity,"Black, Non-Hispanic",62.0,55.8 to 67.9,259,OK
Tdap,States,Oklahoma,2017,Race and Ethnicity,"Black, Non-Hispanic",66.2,60.5 to 71.6,302,OK
Tdap,States,Oklahoma,2016,Race and Ethnicity,"White, Non-Hispanic",68.7,63.2 to 73.9,304,OK
Tdap,States,Oklahoma,2017,Race and Ethnicity,"White, Non-Hispanic",77.5,71.9 to 82.5,256,OK
Tdap,States,Oklahoma,2013,Race and Ethnicity,"White, Non-Hispanic",27.1,22.4 to 32.2,980,OK
Tdap,States,Oklahoma,2012,Race and Ethnicity,"White, Non-Hispanic",15.5,11.7 to 20.0,930,OK
Tdap,States,Oklahoma,2014,Race and Ethnicity,"White, Non-Hispanic",42.0,36.5 to 47.7,984,OK
Tdap,States,Oklahoma,2015,Race and Ethnicity,"White, Non-Hispanic",50.0,44.7 to 55.3,1018,OK
Tdap,States,Oklahoma,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",77.8,72.4 to 82.6,435,OK
Tdap,States,Oklahoma,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",75.6,70.5 to 80.2,506,OK
Tdap,States,Oklahoma,2013,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",38.3,27.7 to 49.8,250,OK
Tdap,States,Oklahoma,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",18.3,10.3 to 28.9,265,OK
Tdap,States,Oklahoma,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",74.3,69.5 to 78.7,562,OK
Tdap,States,Oklahoma,2014,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",39.9,29.8 to 50.7,273,OK
Tdap,States,Oklahoma,2015,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",55.4,45.6 to 64.9,277,OK
Tdap,States,Oklahoma,2016,Race and Ethnicity,Hispanic,70.1,65.3 to 74.6,388,OK
Tdap,States,Oklahoma,2017,Race and Ethnicity,Hispanic,68.3,63.3 to 73.0,365,OK
Tdap,States,Oklahoma,2018,Race and Ethnicity,Hispanic,73.6,68.2 to 78.5,302,OK
Tdap,States,Oklahoma,2015,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,140,OK
Tdap,States,Oklahoma,2013,Race and Ethnicity,Hispanic,18.3,9.6 to 30.3,197,OK
Tdap,States,Oklahoma,2012,Race and Ethnicity,Hispanic,NR*,NR*,154,OK
Tdap,States,Oklahoma,2014,Race and Ethnicity,Hispanic,35.6,23.0 to 49.9,176,OK
Tdap,States,Oklahoma,2015,Race and Ethnicity,Hispanic,37.4,25.9 to 50.0,191,OK
Tdap,States,Oklahoma,2013,Age,>=18 Years,28.0,24.1 to 32.2,1543,OK
Tdap,States,Oklahoma,2012,Age,>=18 Years,15.8,12.6 to 19.5,1477,OK
Tdap,States,Oklahoma,2016,Age,>=18 Years,69.0,65.5 to 72.3,1624,OK
Tdap,States,Oklahoma,2014,Age,>=18 Years,41.0,36.6 to 45.5,1575,OK
Tdap,States,Oklahoma,2015,Age,>=18 Years,48.7,44.5 to 52.9,1628,OK
Tdap,States,Oklahoma,2018,Age,>=18 Years,73.1,69.3 to 76.6,1253,OK
Tdap,States,Oklahoma,2017,Age,>=18 Years,74.9,71.5 to 78.1,1429,OK
Tdap,States,Oklahoma,2016,Age,18-24 Years,73.6,67.7 to 78.9,594,OK
Tdap,States,Oklahoma,2017,Age,18-24 Years,75.7,69.8 to 81.0,512,OK
Tdap,States,Oklahoma,2013,Age,18-24 Years,29.7,22.6 to 37.6,468,OK
Tdap,States,Oklahoma,2012,Age,18-24 Years,14.5,9.0 to 21.7,495,OK
Tdap,States,Oklahoma,2014,Age,18-24 Years,42.3,34.2 to 50.7,442,OK
Tdap,States,Oklahoma,2015,Age,18-24 Years,45.6,38.0 to 53.4,493,OK
Tdap,States,Oklahoma,2018,Age,18-24 Years,69.5,62.6 to 75.8,425,OK
Tdap,States,Oklahoma,2012,Age,25-34 Years,18.0,13.7 to 23.0,833,OK
Tdap,States,Oklahoma,2018,Race and Ethnicity,"White, Non-Hispanic",73.0,67.0 to 78.5,255,OK
Influenza,States,Oklahoma,2012,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,150,OK
Influenza,States,Oklahoma,2012,Race and Ethnicity,Hispanic,36.3,25.7 to 48.0,213,OK
Influenza,States,Oklahoma,2012,Age,25-34 Years,46.7,41.3 to 52.2,981,OK
Influenza,States,Oklahoma,2012,Age,>=35 Years,44.1,31.1 to 57.8,182,OK
Influenza,States,Oklahoma,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",43.5,33.7 to 53.6,314,OK
Influenza,States,Oklahoma,2012,Race and Ethnicity,"White, Non-Hispanic",46.5,41.3 to 51.7,1068,OK
Influenza,States,Oklahoma,2012,Age,>=18 Years,43.6,39.5 to 47.7,1747,OK
Influenza,States,Oklahoma,2012,Age,18-24 Years,38.6,31.6 to 46.0,584,OK
Influenza,States,Indiana,2018,Age,>=18 Years,55.7,51.2 to 60.2,850,IN
Influenza,States,Indiana,2018,Age,18-24 Years,52.9,43.3 to 62.4,213,IN
Influenza,States,Indiana,2018,Age,25-34 Years,56.4,50.5 to 62.2,493,IN
Influenza,States,Indiana,2018,Age,>=35 Years,58.2,47.3 to 68.6,144,IN
Influenza,States,Indiana,2018,Race and Ethnicity,"White, Non-Hispanic",55.9,50.1 to 61.6,327,IN
Influenza,States,Indiana,2018,Race and Ethnicity,"Black, Non-Hispanic",42.1,35.6 to 48.8,242,IN
Influenza,States,Indiana,2018,Race and Ethnicity,Hispanic,64.1,49.4 to 77.1,110,IN
Influenza,States,Indiana,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",73.0,65.6 to 79.6,168,IN
Tdap,States,Nebraska,2019,Age,25-34 Years,90.1,87.2 to 92.5,863,NE
Tdap,States,Nebraska,2020,Age,25-34 Years,88.2,85.1 to 90.9,820,NE
Tdap,States,Nebraska,2018,Age,25-34 Years,87.2,83.2 to 90.5,694,NE
Tdap,States,Nebraska,2016,Age,25-34 Years,86.8,83.6 to 89.6,731,NE
Tdap,States,Nebraska,2020,Age,>=35 Years,83.4,75.3 to 89.7,225,NE
Tdap,States,Nebraska,2016,Race and Ethnicity,"Black, Non-Hispanic",81.4,73.8 to 87.6,137,NE
Tdap,States,Nebraska,2019,Age,>=35 Years,84.2,76.6 to 90.1,227,NE
Tdap,States,Nebraska,2018,Age,>=35 Years,82.0,73.1 to 88.9,200,NE
Tdap,States,Nebraska,2016,Age,>=35 Years,84.8,77.9 to 90.2,193,NE
Tdap,States,Nebraska,2016,Age,>=18 Years,86.0,83.4 to 88.3,1157,NE
Tdap,States,Nebraska,2019,Age,>=18 Years,88.6,86.2 to 90.7,1419,NE
Tdap,States,Nebraska,2020,Age,>=18 Years,87.1,84.5 to 89.4,1327,NE
Tdap,States,Nebraska,2018,Age,>=18 Years,86.5,83.4 to 89.2,1172,NE
Tdap,States,Nebraska,2016,Age,18-24 Years,84.7,78.0 to 90.0,233,NE
Tdap,States,Nebraska,2020,Age,18-24 Years,86.3,79.8 to 91.3,282,NE
Tdap,States,Nebraska,2019,Age,18-24 Years,87.4,81.4 to 92.0,329,NE
Tdap,States,Nebraska,2018,Age,18-24 Years,87.9,80.7 to 93.1,278,NE
Tdap,States,Nebraska,2018,Race and Ethnicity,"Black, Non-Hispanic",86.2,79.4 to 91.4,145,NE
Tdap,States,Nebraska,2019,Race and Ethnicity,"White, Non-Hispanic",90.4,87.1 to 93.1,396,NE
Tdap,States,Nebraska,2020,Race and Ethnicity,"White, Non-Hispanic",88.6,85.0 to 91.6,382,NE
Tdap,States,Nebraska,2018,Race and Ethnicity,"White, Non-Hispanic",87.0,82.6 to 90.6,321,NE
Tdap,States,Nebraska,2016,Race and Ethnicity,"White, Non-Hispanic",87.1,83.7 to 90.0,484,NE
Tdap,States,Nebraska,2020,Race and Ethnicity,Hispanic,83.1,79.0 to 86.7,392,NE
Tdap,States,Nebraska,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",86.3,81.8 to 90.0,300,NE
Tdap,States,Nebraska,2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",86.2,80.4 to 90.8,456,NE
Tdap,States,Nebraska,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",86.4,82.8 to 89.5,426,NE
Tdap,States,Nebraska,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",85.9,81.8 to 89.3,407,NE
Tdap,States,Nebraska,2020,Race and Ethnicity,"Black, Non-Hispanic",82.3,74.5 to 88.5,127,NE
Tdap,States,Nebraska,2019,Race and Ethnicity,"Black, Non-Hispanic",84.2,77.9 to 89.3,171,NE
Tdap,States,Nebraska,2019,Race and Ethnicity,Hispanic,83.5,79.5 to 87.0,396,NE
Tdap,States,Nebraska,2018,Race and Ethnicity,Hispanic,84.5,79.9 to 88.4,299,NE
Tdap,States,Nebraska,2016,Race and Ethnicity,Hispanic,82.3,76.8 to 86.9,236,NE
Influenza,States,Nebraska,2020,Age,18-24 Years,70.5,62.2 to 77.9,308,NE
Influenza,States,Nebraska,2020,Age,25-34 Years,77.9,74.0 to 81.5,890,NE
Influenza,States,Nebraska,2020,Age,>=35 Years,75.9,67.2 to 83.2,237,NE
Influenza,States,Nebraska,2012,Age,>=35 Years,66.8,55.4 to 76.9,124,NE
Influenza,States,Nebraska,2012,Age,25-34 Years,60.7,55.9 to 65.3,623,NE
Influenza,States,Nebraska,2020,Race and Ethnicity,"Black, Non-Hispanic",66.9,58.0 to 75.0,135,NE
Influenza,States,Nebraska,2012,Race and Ethnicity,Hispanic,59.8,52.5 to 66.8,193,NE
Influenza,States,Nebraska,2012,Race and Ethnicity,"Black, Non-Hispanic",50.1,41.4 to 58.8,136,NE
Influenza,States,Nebraska,2020,Race and Ethnicity,"White, Non-Hispanic",76.6,72.0 to 80.7,394,NE
Influenza,States,Nebraska,2012,Race and Ethnicity,"White, Non-Hispanic",59.7,54.9 to 64.3,438,NE
Influenza,States,Nebraska,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",51.8,46.0 to 57.6,301,NE
Influenza,States,Nebraska,2020,Race and Ethnicity,Hispanic,75.0,70.7 to 79.0,435,NE
Influenza,States,Nebraska,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",81.3,77.5 to 84.7,471,NE
Influenza,States,Nebraska,2020,Age,>=18 Years,76.0,72.8 to 79.0,1435,NE
Influenza,States,Nebraska,2012,Age,18-24 Years,51.6,44.6 to 58.5,321,NE
Influenza,States,Nebraska,2012,Age,>=18 Years,58.8,55.1 to 62.4,1068,NE
Influenza,States,Missouri,2021,Age,>=18 Years,56.3,52.2 to 60.4,808,MO
Influenza,States,Missouri,2021,Age,18-24 Years,41.2,32.2 to 50.6,169,MO
Influenza,States,Missouri,2021,Age,25-34 Years,61.1,55.9 to 66.1,493,MO
Influenza,States,Missouri,2021,Age,>=35 Years,58.8,48.6 to 68.5,146,MO
Tdap,States,Missouri,2021,Age,>=18 Years,75.7,71.9 to 79.3,779,MO
Tdap,States,Missouri,2021,Age,18-24 Years,71.2,61.6 to 79.6,158,MO
Tdap,States,Missouri,2021,Age,25-34 Years,78.7,74.0 to 82.9,482,MO
Tdap,States,Missouri,2021,Age,>=35 Years,70.0,59.7 to 79.0,139,MO
Influenza,States,Missouri,2021,Race and Ethnicity,"White, Non-Hispanic",59.0,54.2 to 63.6,585,MO
Influenza,States,Missouri,2021,Race and Ethnicity,"Black, Non-Hispanic",34.3,23.8 to 46.0,113,MO
Influenza,States,Missouri,2021,Race and Ethnicity,Hispanic,NR*,NR*,57,MO
Influenza,States,Missouri,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,50,MO
Tdap,States,Missouri,2021,Race and Ethnicity,"White, Non-Hispanic",76.9,72.5 to 80.9,570,MO
Tdap,States,Missouri,2021,Race and Ethnicity,"Black, Non-Hispanic",69.0,56.5 to 79.8,105,MO
Tdap,States,Missouri,2021,Race and Ethnicity,Hispanic,NR*,NR*,52,MO
Tdap,States,Missouri,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",73.5,57.1 to 86.2,50,MO
Influenza,States,Missouri,2013,Age,18-24 Years,49.2,42.8 to 55.6,331,MO
Influenza,States,Missouri,2013,Age,25-34 Years,56.8,52.5 to 61.0,669,MO
Influenza,States,Missouri,2013,Age,>=18 Years,55.2,51.9 to 58.5,1141,MO
Influenza,States,Missouri,2013,Race and Ethnicity,"Black, Non-Hispanic",50.2,40.4 to 60.0,157,MO
Influenza,States,Missouri,2013,Race and Ethnicity,Hispanic,NR*,NR*,46,MO
Influenza,States,Missouri,2013,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",40.2,26.5 to 55.1,60,MO
Influenza,States,Missouri,2015,Age,18-24 Years,54.2,47.5 to 60.8,300,MO
Influenza,States,Missouri,2015,Age,25-34 Years,56.9,52.4 to 61.3,661,MO
Influenza,States,Missouri,2015,Age,>=35 Years,68.0,58.0 to 76.9,136,MO
Influenza,States,Missouri,2015,Race and Ethnicity,"White, Non-Hispanic",60.5,56.7 to 64.2,859,MO
Influenza,States,Missouri,2015,Race and Ethnicity,"Black, Non-Hispanic",43.9,33.2 to 55.0,131,MO
Influenza,States,Missouri,2015,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",50.2,36.2 to 64.2,66,MO
Influenza,States,Missouri,2014,Age,>=18 Years,57.1,53.8 to 60.4,1154,MO
Influenza,States,Missouri,2014,Age,18-24 Years,48.8,42.2 to 55.4,331,MO
Influenza,States,Missouri,2014,Age,25-34 Years,60.6,56.4 to 64.7,681,MO
Influenza,States,Missouri,2014,Age,>=35 Years,61.2,51.5 to 70.3,142,MO
Influenza,States,Missouri,2014,Race and Ethnicity,"White, Non-Hispanic",58.0,54.2 to 61.7,885,MO
Influenza,States,Missouri,2014,Race and Ethnicity,"Black, Non-Hispanic",49.7,40.2 to 59.2,178,MO
Influenza,States,Missouri,2014,Race and Ethnicity,Hispanic,NR*,NR*,NA,MO
Influenza,States,Missouri,2014,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",58.9,44.0 to 72.7,64,MO
Influenza,States,Missouri,2013,Age,>=35 Years,61.8,51.9 to 71.0,141,MO
Influenza,States,Missouri,2013,Race and Ethnicity,"White, Non-Hispanic",56.2,52.4 to 59.9,878,MO
Influenza,States,Missouri,2015,Race and Ethnicity,Hispanic,NR*,NR*,40,MO
Influenza,States,Missouri,2017,Age,>=18 Years,57.7,54.2 to 61.2,1084,MO
Influenza,States,Missouri,2017,Age,18-24 Years,55.2,47.6 to 62.6,250,MO
Influenza,States,Missouri,2017,Age,25-34 Years,56.7,52.2 to 61.1,675,MO
Influenza,States,Missouri,2017,Age,>=35 Years,66.5,57.2 to 74.9,159,MO
Influenza,States,Missouri,2017,Race and Ethnicity,"White, Non-Hispanic",59.0,55.0 to 62.9,810,MO
Influenza,States,Missouri,2017,Race and Ethnicity,"Black, Non-Hispanic",50.8,40.7 to 60.9,162,MO
Influenza,States,Missouri,2017,Race and Ethnicity,Hispanic,NR*,NR*,39,MO
Influenza,States,Missouri,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",57.8,43.9 to 70.9,73,MO
Influenza,States,Missouri,2016,Age,>=18 Years,56.7,53.1 to 60.2,1037,MO
Influenza,States,Missouri,2016,Age,18-24 Years,55.0,47.9 to 62.0,278,MO
Influenza,States,Missouri,2016,Age,25-34 Years,58.0,53.4 to 62.5,618,MO
Influenza,States,Missouri,2016,Age,>=35 Years,54.7,44.5 to 64.6,141,MO
Influenza,States,Missouri,2016,Race and Ethnicity,"White, Non-Hispanic",55.7,51.6 to 59.7,770,MO
Influenza,States,Missouri,2016,Race and Ethnicity,"Black, Non-Hispanic",57.5,46.8 to 67.7,138,MO
Influenza,States,Missouri,2016,Race and Ethnicity,Hispanic,64.9,50.1 to 77.9,63,MO
Influenza,States,Missouri,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",57.2,42.9 to 70.7,65,MO
Influenza,States,Missouri,2019,Age,>=18 Years,64.3,61.2 to 67.4,1566,MO
Influenza,States,Missouri,2019,Age,18-24 Years,55.8,48.6 to 62.8,306,MO
Influenza,States,Missouri,2019,Age,25-34 Years,66.7,62.7 to 70.5,993,MO
Influenza,States,Missouri,2019,Age,>=35 Years,67.9,60.0 to 75.2,267,MO
Influenza,States,Missouri,2019,Race and Ethnicity,"White, Non-Hispanic",65.2,61.5 to 68.7,1131,MO
Influenza,States,Missouri,2019,Race and Ethnicity,"Black, Non-Hispanic",56.3,47.9 to 64.5,268,MO
Influenza,States,Missouri,2019,Race and Ethnicity,Hispanic,NR*,NR*,60,MO
Influenza,States,Missouri,2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",68.2,55.0 to 79.6,105,MO
Influenza,States,Missouri,2018,Age,>=18 Years,60.6,56.9 to 64.2,914,MO
Influenza,States,Missouri,2018,Age,18-24 Years,53.2,45.5 to 60.8,222,MO
Influenza,States,Missouri,2018,Age,25-34 Years,62.5,57.8 to 67.0,567,MO
Influenza,States,Missouri,2018,Age,>=35 Years,68.4,58.1 to 77.5,125,MO
Influenza,States,Missouri,2018,Race and Ethnicity,"White, Non-Hispanic",63.1,58.8 to 67.2,669,MO
Influenza,States,Missouri,2018,Race and Ethnicity,"Black, Non-Hispanic",46.5,36.1 to 57.1,137,MO
Influenza,States,Missouri,2018,Race and Ethnicity,Hispanic,NR*,NR*,49,MO
