Vaccine,Geography.Type,Geography,Survey.Year.Influenza.Season,Dimension.Type,Dimension,Estimate....,X95..CI....,Sample.Size,State,Year,Insured,Uninsured,UrbanicityIndex
Tdap,States,Oklahoma,2012,Race and Ethnicity,Hispanic,NR*,NR*,154,OK,2012,847000,274600,2.8505895815712226
Tdap,States,Oklahoma,2014,Race and Ethnicity,Hispanic,35.6,23.0 to 49.9,176,OK,2014,905400,233200,2.8505895815712226
Tdap,States,Oklahoma,2015,Race and Ethnicity,Hispanic,37.4,25.9 to 50.0,191,OK,2015,918400,215600,2.8505895815712226
Tdap,States,Oklahoma,2013,Age,>=18 Years,28.0,24.1 to 32.2,1543,OK,2013,867700,266700,2.8505895815712226
Tdap,States,Oklahoma,2012,Age,>=18 Years,15.8,12.6 to 19.5,1477,OK,2012,847000,274600,2.8505895815712226
Tdap,States,Oklahoma,2016,Age,>=18 Years,69.0,65.5 to 72.3,1624,OK,2016,923500,209800,2.8505895815712226
Tdap,States,Oklahoma,2014,Age,>=18 Years,41.0,36.6 to 45.5,1575,OK,2014,905400,233200,2.8505895815712226
Tdap,States,Oklahoma,2015,Age,>=18 Years,48.7,44.5 to 52.9,1628,OK,2015,918400,215600,2.8505895815712226
Tdap,States,Oklahoma,2018,Age,>=18 Years,73.1,69.3 to 76.6,1253,OK,2018,922600,210500,2.8505895815712226
Tdap,States,Oklahoma,2017,Age,>=18 Years,74.9,71.5 to 78.1,1429,OK,2017,919400,212700,2.8505895815712226
Tdap,States,Oklahoma,2016,Age,18-24 Years,73.6,67.7 to 78.9,594,OK,2016,923500,209800,2.8505895815712226
Tdap,States,Oklahoma,2017,Age,18-24 Years,75.7,69.8 to 81.0,512,OK,2017,919400,212700,2.8505895815712226
Tdap,States,Oklahoma,2013,Age,18-24 Years,29.7,22.6 to 37.6,468,OK,2013,867700,266700,2.8505895815712226
Tdap,States,Oklahoma,2012,Age,18-24 Years,14.5,9.0 to 21.7,495,OK,2012,847000,274600,2.8505895815712226
Tdap,States,Oklahoma,2014,Age,18-24 Years,42.3,34.2 to 50.7,442,OK,2014,905400,233200,2.8505895815712226
Tdap,States,Oklahoma,2015,Age,18-24 Years,45.6,38.0 to 53.4,493,OK,2015,918400,215600,2.8505895815712226
Tdap,States,Oklahoma,2018,Age,18-24 Years,69.5,62.6 to 75.8,425,OK,2018,922600,210500,2.8505895815712226
Tdap,States,Oklahoma,2012,Age,25-34 Years,18.0,13.7 to 23.0,833,OK,2012,847000,274600,2.8505895815712226
Tdap,States,Oklahoma,2018,Race and Ethnicity,"White, Non-Hispanic",73.0,67.0 to 78.5,255,OK,2018,922600,210500,2.8505895815712226
Influenza,States,Oklahoma,2012,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,150,OK,2012,847000,274600,2.8505895815712226
Influenza,States,Oklahoma,2012,Race and Ethnicity,Hispanic,36.3,25.7 to 48.0,213,OK,2012,847000,274600,2.8505895815712226
Influenza,States,Oklahoma,2012,Age,25-34 Years,46.7,41.3 to 52.2,981,OK,2012,847000,274600,2.8505895815712226
Influenza,States,Oklahoma,2012,Age,>=35 Years,44.1,31.1 to 57.8,182,OK,2012,847000,274600,2.8505895815712226
Influenza,States,Oklahoma,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",43.5,33.7 to 53.6,314,OK,2012,847000,274600,2.8505895815712226
Influenza,States,Oklahoma,2012,Race and Ethnicity,"White, Non-Hispanic",46.5,41.3 to 51.7,1068,OK,2012,847000,274600,2.8505895815712226
Influenza,States,Oklahoma,2012,Age,>=18 Years,43.6,39.5 to 47.7,1747,OK,2012,847000,274600,2.8505895815712226
Influenza,States,Oklahoma,2012,Age,18-24 Years,38.6,31.6 to 46.0,584,OK,2012,847000,274600,2.8505895815712226
Influenza,States,Indiana,2018,Age,>=18 Years,55.7,51.2 to 60.2,850,IN,2018,1758700,198400,3.0617303843078854
Influenza,States,Indiana,2018,Age,18-24 Years,52.9,43.3 to 62.4,213,IN,2018,1758700,198400,3.0617303843078854
Influenza,States,Indiana,2018,Age,25-34 Years,56.4,50.5 to 62.2,493,IN,2018,1758700,198400,3.0617303843078854
Influenza,States,Indiana,2018,Age,>=35 Years,58.2,47.3 to 68.6,144,IN,2018,1758700,198400,3.0617303843078854
Influenza,States,Indiana,2018,Race and Ethnicity,"White, Non-Hispanic",55.9,50.1 to 61.6,327,IN,2018,1758700,198400,3.0617303843078854
Influenza,States,Indiana,2018,Race and Ethnicity,"Black, Non-Hispanic",42.1,35.6 to 48.8,242,IN,2018,1758700,198400,3.0617303843078854
Influenza,States,Indiana,2018,Race and Ethnicity,Hispanic,64.1,49.4 to 77.1,110,IN,2018,1758700,198400,3.0617303843078854
Influenza,States,Indiana,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",73.0,65.6 to 79.6,168,IN,2018,1758700,198400,3.0617303843078854
Tdap,States,Nebraska,2019,Age,25-34 Years,90.1,87.2 to 92.5,863,NE,2019,485000,54500,3.901016452371358
Tdap,States,Nebraska,2020,Age,25-34 Years,88.2,85.1 to 90.9,820,NE,2020,NA,NA,3.901016452371358
Tdap,States,Nebraska,2018,Age,25-34 Years,87.2,83.2 to 90.5,694,NE,2018,484400,61300,3.901016452371358
Tdap,States,Nebraska,2016,Age,25-34 Years,86.8,83.6 to 89.6,731,NE,2016,482700,61300,3.901016452371358
Tdap,States,Nebraska,2020,Age,>=35 Years,83.4,75.3 to 89.7,225,NE,2020,NA,NA,3.901016452371358
Tdap,States,Nebraska,2016,Race and Ethnicity,"Black, Non-Hispanic",81.4,73.8 to 87.6,137,NE,2016,482700,61300,3.901016452371358
Tdap,States,Nebraska,2019,Age,>=35 Years,84.2,76.6 to 90.1,227,NE,2019,485000,54500,3.901016452371358
Tdap,States,Nebraska,2018,Age,>=35 Years,82.0,73.1 to 88.9,200,NE,2018,484400,61300,3.901016452371358
Tdap,States,Nebraska,2016,Age,>=35 Years,84.8,77.9 to 90.2,193,NE,2016,482700,61300,3.901016452371358
Tdap,States,Nebraska,2016,Age,>=18 Years,86.0,83.4 to 88.3,1157,NE,2016,482700,61300,3.901016452371358
Tdap,States,Nebraska,2019,Age,>=18 Years,88.6,86.2 to 90.7,1419,NE,2019,485000,54500,3.901016452371358
Tdap,States,Nebraska,2020,Age,>=18 Years,87.1,84.5 to 89.4,1327,NE,2020,NA,NA,3.901016452371358
Tdap,States,Nebraska,2018,Age,>=18 Years,86.5,83.4 to 89.2,1172,NE,2018,484400,61300,3.901016452371358
Tdap,States,Nebraska,2016,Age,18-24 Years,84.7,78.0 to 90.0,233,NE,2016,482700,61300,3.901016452371358
Tdap,States,Nebraska,2020,Age,18-24 Years,86.3,79.8 to 91.3,282,NE,2020,NA,NA,3.901016452371358
Tdap,States,Nebraska,2019,Age,18-24 Years,87.4,81.4 to 92.0,329,NE,2019,485000,54500,3.901016452371358
Tdap,States,Nebraska,2018,Age,18-24 Years,87.9,80.7 to 93.1,278,NE,2018,484400,61300,3.901016452371358
Tdap,States,Nebraska,2018,Race and Ethnicity,"Black, Non-Hispanic",86.2,79.4 to 91.4,145,NE,2018,484400,61300,3.901016452371358
Tdap,States,Nebraska,2019,Race and Ethnicity,"White, Non-Hispanic",90.4,87.1 to 93.1,396,NE,2019,485000,54500,3.901016452371358
Tdap,States,Nebraska,2020,Race and Ethnicity,"White, Non-Hispanic",88.6,85.0 to 91.6,382,NE,2020,NA,NA,3.901016452371358
Tdap,States,Nebraska,2018,Race and Ethnicity,"White, Non-Hispanic",87.0,82.6 to 90.6,321,NE,2018,484400,61300,3.901016452371358
Tdap,States,Nebraska,2016,Race and Ethnicity,"White, Non-Hispanic",87.1,83.7 to 90.0,484,NE,2016,482700,61300,3.901016452371358
Tdap,States,Nebraska,2020,Race and Ethnicity,Hispanic,83.1,79.0 to 86.7,392,NE,2020,NA,NA,3.901016452371358
Tdap,States,Nebraska,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",86.3,81.8 to 90.0,300,NE,2016,482700,61300,3.901016452371358
Tdap,States,Nebraska,2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",86.2,80.4 to 90.8,456,NE,2019,485000,54500,3.901016452371358
Tdap,States,Nebraska,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",86.4,82.8 to 89.5,426,NE,2020,NA,NA,3.901016452371358
Tdap,States,Nebraska,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",85.9,81.8 to 89.3,407,NE,2018,484400,61300,3.901016452371358
Tdap,States,Nebraska,2020,Race and Ethnicity,"Black, Non-Hispanic",82.3,74.5 to 88.5,127,NE,2020,NA,NA,3.901016452371358
Tdap,States,Nebraska,2019,Race and Ethnicity,"Black, Non-Hispanic",84.2,77.9 to 89.3,171,NE,2019,485000,54500,3.901016452371358
Tdap,States,Nebraska,2019,Race and Ethnicity,Hispanic,83.5,79.5 to 87.0,396,NE,2019,485000,54500,3.901016452371358
Tdap,States,Nebraska,2018,Race and Ethnicity,Hispanic,84.5,79.9 to 88.4,299,NE,2018,484400,61300,3.901016452371358
Tdap,States,Nebraska,2016,Race and Ethnicity,Hispanic,82.3,76.8 to 86.9,236,NE,2016,482700,61300,3.901016452371358
Influenza,States,Nebraska,2020,Age,18-24 Years,70.5,62.2 to 77.9,308,NE,2020,NA,NA,3.901016452371358
Influenza,States,Nebraska,2020,Age,25-34 Years,77.9,74.0 to 81.5,890,NE,2020,NA,NA,3.901016452371358
Influenza,States,Nebraska,2020,Age,>=35 Years,75.9,67.2 to 83.2,237,NE,2020,NA,NA,3.901016452371358
Influenza,States,Nebraska,2012,Age,>=35 Years,66.8,55.4 to 76.9,124,NE,2012,457000,83300,3.901016452371358
Influenza,States,Nebraska,2012,Age,25-34 Years,60.7,55.9 to 65.3,623,NE,2012,457000,83300,3.901016452371358
Influenza,States,Nebraska,2020,Race and Ethnicity,"Black, Non-Hispanic",66.9,58.0 to 75.0,135,NE,2020,NA,NA,3.901016452371358
Influenza,States,Nebraska,2012,Race and Ethnicity,Hispanic,59.8,52.5 to 66.8,193,NE,2012,457000,83300,3.901016452371358
Influenza,States,Nebraska,2012,Race and Ethnicity,"Black, Non-Hispanic",50.1,41.4 to 58.8,136,NE,2012,457000,83300,3.901016452371358
Influenza,States,Nebraska,2020,Race and Ethnicity,"White, Non-Hispanic",76.6,72.0 to 80.7,394,NE,2020,NA,NA,3.901016452371358
Influenza,States,Nebraska,2012,Race and Ethnicity,"White, Non-Hispanic",59.7,54.9 to 64.3,438,NE,2012,457000,83300,3.901016452371358
Influenza,States,Nebraska,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",51.8,46.0 to 57.6,301,NE,2012,457000,83300,3.901016452371358
Influenza,States,Nebraska,2020,Race and Ethnicity,Hispanic,75.0,70.7 to 79.0,435,NE,2020,NA,NA,3.901016452371358
Influenza,States,Nebraska,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",81.3,77.5 to 84.7,471,NE,2020,NA,NA,3.901016452371358
